fingerprint,seed,omitted_target_family,source_slice,evaluated_source_family,method,eligible,successes,asr,asr_query_auc,normalized_action_entropy,query_budget
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,modern_cnn,bandit_action,361,8,0.02216066,0.01473684,0.99604818,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,modern_cnn,gradient_bc_groupdro_ppo_stochastic,361,16,0.04432133,0.02421053,0.87044359,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,modern_cnn,gradient_bc_only_stochastic,361,16,0.04432133,0.02022161,0.96512336,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,modern_cnn,ppo_only_stochastic,361,15,0.04155125,0.01858726,0.99693472,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,modern_cnn,random_action,361,14,0.03878116,0.01739612,0.99932970,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,modern_cnn,score_greedy,361,14,0.03878116,0.01817175,0.99971514,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,transformer,bandit_action,304,15,0.04934211,0.03634868,0.99346817,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,transformer,gradient_bc_groupdro_ppo_stochastic,304,42,0.13815789,0.06532895,0.87092054,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,transformer,gradient_bc_only_stochastic,304,36,0.11842105,0.05973684,0.96703609,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,transformer,ppo_only_stochastic,304,30,0.09868421,0.04493421,0.99628406,50
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,exact_source,transformer,random_action,304,30,0.09868421,0.04559211,0.99935781,50
