source_slice,method,conditions,eligible,successes,asr,pooled_asr,asr_query_auc,eligible_weighted_asr_query_auc,normalized_action_entropy,eligible_weighted_action_entropy
exact_source,gradient_bc_groupdro_ppo_stochastic,60,20680,1399,0.07081418,0.06764990,0.03155967,0.03007979,0.92321755,0.92309395
exact_source,gradient_bc_only_stochastic,60,20680,1314,0.06661430,0.06353965,0.03030355,0.02888491,0.96499509,0.96490334
exact_source,ppo_only_stochastic,60,20680,1118,0.05668015,0.05406190,0.02541988,0.02424565,0.99746096,0.99746365
exact_source,score_greedy,60,20680,1108,0.05610258,0.05357834,0.02475721,0.02362766,0.99966768,0.99967019
exact_source,random_action,60,20680,1108,0.05619315,0.05357834,0.02447411,0.02331818,0.99939536,0.99939738
exact_source,bandit_action,60,20680,501,0.02544862,0.02422631,0.01877882,0.01789603,0.99490867,0.99497082
seen_family_new_instance,gradient_bc_groupdro_ppo_stochastic,60,10220,688,0.07027322,0.06731898,0.03340459,0.03178278,0.92313724,0.92299347
seen_family_new_instance,gradient_bc_only_stochastic,60,10220,686,0.07052310,0.06712329,0.03172756,0.03015460,0.96414971,0.96404746
seen_family_new_instance,ppo_only_stochastic,60,10220,555,0.05707306,0.05430528,0.02561617,0.02428865,0.99678509,0.99680698
seen_family_new_instance,score_greedy,60,10220,545,0.05602133,0.05332681,0.02468718,0.02347260,0.99935726,0.99936591
seen_family_new_instance,random_action,60,10220,541,0.05574635,0.05293542,0.02482519,0.02359002,0.99871883,0.99873389
seen_family_new_instance,bandit_action,60,10220,246,0.02560851,0.02407045,0.01964756,0.01844031,0.98945980,0.98962952
combined_source,gradient_bc_groupdro_ppo_stochastic,120,30900,2087,0.07054370,0.06754045,0.03248213,0.03064304,0.92317740,0.92306072
combined_source,gradient_bc_only_stochastic,120,30900,2000,0.06856870,0.06472492,0.03101555,0.02930485,0.96457240,0.96462026
combined_source,ppo_only_stochastic,120,30900,1673,0.05687661,0.05414239,0.02551803,0.02425987,0.99712303,0.99724646
combined_source,score_greedy,120,30900,1653,0.05606195,0.05349515,0.02472220,0.02357638,0.99951247,0.99956955
combined_source,random_action,120,30900,1649,0.05596975,0.05336570,0.02464965,0.02340809,0.99905709,0.99917794
combined_source,bandit_action,120,30900,747,0.02552856,0.02417476,0.01921319,0.01807605,0.99218423,0.99320422
