fingerprint,seed,omitted_target_family,status,exact_source_asr,exact_source_auc,score_greedy_asr,score_greedy_auc,asr_gain_vs_score_greedy,auc_gain_vs_score_greedy,bc_train_accuracy,bc_validation_accuracy,bc_majority_accuracy,bc_validation_nll,bc_frequency_nll,bc_gate_passed,trained_episodes,source_calls,elapsed_seconds,source_evaluation_elapsed_seconds
858db8c0de5bab47ce82dd5c24a77a7b98edc0d6165a7c9cc66a60bd0ed8cafa,17,classical_cnn,source_complete,0.09123961,0.04476974,0.06708795,0.02883916,0.02415166,0.01593057,0.02916514,0.03140244,0.02804878,4.41336393,4.35597489,False,4131,197386,6868.02831215,350.13280650
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,source_complete,0.08578601,0.03956977,0.06873269,0.03126904,0.01705332,0.00830073,0.03193115,0.02587961,0.02646118,4.43504858,4.38743925,False,4119,197622,1660.06573518,351.70040420
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,source_complete,0.08604571,0.03699792,0.07011773,0.03142313,0.01592798,0.00557479,0.03299960,0.03222996,0.03019744,4.44466209,4.38646519,False,4103,197038,1658.22641562,350.98999504
b2182929cbaa949c93be9963c553d7b042fdc26adddea32344caeda5c36fe951,53,classical_cnn,source_complete,0.09046053,0.04058085,0.06873269,0.02934730,0.02172784,0.01123355,0.03225164,0.03875496,0.03295697,4.41469383,4.36642013,False,4150,198228,1662.85591785,349.89284693
600c5f09dc00c6d9723ca18b994a8854f77e273a7441056983db2209600ea3a1,67,classical_cnn,source_complete,0.08275623,0.03696503,0.06596260,0.02985284,0.01679363,0.00711219,0.03051511,0.02923474,0.02608197,4.43221903,4.38364064,False,4153,199736,1672.73348907,352.25788281
44d4d6d48549b995d67ea4a03afcecbba2f69666b473de5d54c7d22fb936c270,79,classical_cnn,source_complete,0.09046053,0.03810682,0.06899238,0.03110370,0.02146814,0.00700312,0.03059814,0.03277237,0.03011515,4.44037104,4.37364831,False,4140,198089,1671.65712161,353.08350111
e7bcddcfa7062d85ab015b567290d94643968e89570304a14e9492a80a730d1e,97,classical_cnn,source_complete,0.08223684,0.03827043,0.06544321,0.02921572,0.01679363,0.00905471,0.02848337,0.03185298,0.02909648,4.43771315,4.38053379,False,4130,198155,1657.98769243,352.63098389
2f3a133cfcb06bd1204f16a242a6ed1e808a0123fdab20f1336995ba1de7e807,113,classical_cnn,source_complete,0.08440097,0.03686548,0.06873269,0.03362535,0.01566828,0.00324013,0.03082113,0.02847520,0.03031231,4.43296146,4.36579943,False,4147,199043,1668.50515392,352.22356318
2667184d8913e755c6b9c40c58ae942f685bf3fa37bf5c1b1908c397e8987e34,131,classical_cnn,source_complete,0.08275623,0.03917071,0.06899238,0.03017053,0.01376385,0.00900017,0.03023663,0.03084112,0.03115265,4.43233204,4.37472807,False,4140,198400,1664.74069798,353.30535567
1cf77a92bb5b91c315fde390250e88026110e9b24a2f83531d2a97fb069f5b2e,149,classical_cnn,source_complete,0.07617729,0.03789647,0.07011773,0.03319252,0.00605956,0.00470395,0.03049851,0.03443022,0.02620353,4.41998816,4.36591691,False,4117,197298,1659.92998100,352.68889970
