heldout_family,source_slice,source_family,victim_count,method,temperature,eligible,successes,asr,auc,asr_gain_vs_score,auc_gain_vs_score,frozen
classical_cnn,exact_source,modern_cnn,2,score_greedy,,180,6,0.0333333333333,0.0156666666667,0,0,True
classical_cnn,exact_source,modern_cnn,2,temperature_0p25,0.25,180,5,0.0277777777778,0.0119444444444,-0.00555555555556,-0.00372222222222,True
classical_cnn,exact_source,modern_cnn,2,temperature_0p50,0.5,180,6,0.0333333333333,0.0167777777778,0,0.00111111111111,True
classical_cnn,exact_source,modern_cnn,2,temperature_0p75,0.75,180,5,0.0277777777778,0.0128333333333,-0.00555555555556,-0.00283333333333,True
classical_cnn,exact_source,modern_cnn,2,temperature_1p00,1,180,6,0.0333333333333,0.0121111111111,0,-0.00355555555556,True
classical_cnn,exact_source,modern_cnn,2,temperature_1p50,1.5,180,5,0.0277777777778,0.0103888888889,-0.00555555555556,-0.00527777777778,True
classical_cnn,exact_source,transformer,2,score_greedy,,150,14,0.0933333333333,0.0444,0,0,True
classical_cnn,exact_source,transformer,2,temperature_0p25,0.25,150,13,0.0866666666667,0.0426,-0.00666666666667,-0.0018,True
classical_cnn,exact_source,transformer,2,temperature_0p50,0.5,150,16,0.106666666667,0.0482666666667,0.0133333333333,0.00386666666667,True
classical_cnn,exact_source,transformer,2,temperature_0p75,0.75,150,17,0.113333333333,0.0460666666667,0.02,0.00166666666667,True
classical_cnn,exact_source,transformer,2,temperature_1p00,1,150,13,0.0866666666667,0.0474,-0.00666666666667,0.003,True
classical_cnn,exact_source,transformer,2,temperature_1p50,1.5,150,14,0.0933333333333,0.0429333333333,0,-0.00146666666667,True
classical_cnn,seen_family_new_instance,modern_cnn,1,score_greedy,,90,3,0.0333333333333,0.0134444444444,0,0,True
classical_cnn,seen_family_new_instance,modern_cnn,1,temperature_0p25,0.25,90,2,0.0222222222222,0.00866666666667,-0.0111111111111,-0.00477777777778,True
classical_cnn,seen_family_new_instance,modern_cnn,1,temperature_0p50,0.5,90,4,0.0444444444444,0.0157777777778,0.0111111111111,0.00233333333333,True
classical_cnn,seen_family_new_instance,modern_cnn,1,temperature_0p75,0.75,90,4,0.0444444444444,0.0191111111111,0.0111111111111,0.00566666666667,True
classical_cnn,seen_family_new_instance,modern_cnn,1,temperature_1p00,1,90,3,0.0333333333333,0.0132222222222,0,-0.000222222222222,True
classical_cnn,seen_family_new_instance,modern_cnn,1,temperature_1p50,1.5,90,4,0.0444444444444,0.0135555555556,0.0111111111111,0.000111111111111,True
classical_cnn,seen_family_new_instance,transformer,1,score_greedy,,72,9,0.125,0.0595833333333,0,0,True
classical_cnn,seen_family_new_instance,transformer,1,temperature_0p25,0.25,72,5,0.0694444444444,0.0434722222222,-0.0555555555556,-0.0161111111111,True
classical_cnn,seen_family_new_instance,transformer,1,temperature_0p50,0.5,72,7,0.0972222222222,0.0534722222222,-0.0277777777778,-0.00611111111111,True
classical_cnn,seen_family_new_instance,transformer,1,temperature_0p75,0.75,72,7,0.0972222222222,0.0545833333333,-0.0277777777778,-0.005,True
classical_cnn,seen_family_new_instance,transformer,1,temperature_1p00,1,72,9,0.125,0.0509722222222,0,-0.00861111111111,True
classical_cnn,seen_family_new_instance,transformer,1,temperature_1p50,1.5,72,10,0.138888888889,0.0616666666667,0.0138888888889,0.00208333333333,True
modern_cnn,exact_source,classical_cnn,2,score_greedy,,185,7,0.0378378378378,0.0154054054054,0,0,True
modern_cnn,exact_source,classical_cnn,2,temperature_0p25,0.25,185,4,0.0216216216216,0.0121081081081,-0.0162162162162,-0.0032972972973,True
modern_cnn,exact_source,classical_cnn,2,temperature_0p50,0.5,185,4,0.0216216216216,0.00908108108108,-0.0162162162162,-0.00632432432432,True
modern_cnn,exact_source,classical_cnn,2,temperature_0p75,0.75,185,5,0.027027027027,0.00978378378378,-0.0108108108108,-0.00562162162162,True
modern_cnn,exact_source,classical_cnn,2,temperature_1p00,1,185,4,0.0216216216216,0.00951351351351,-0.0162162162162,-0.00589189189189,True
