heldout_family,method,temperature,asr,auc,asr_gain_vs_score,auc_gain_vs_score,frozen
classical_cnn,score_greedy,,0.07125,0.0332736111111,0,0,True
classical_cnn,temperature_0p25,0.25,0.0515277777778,0.0266708333333,-0.0197222222222,-0.00660277777778,True
classical_cnn,temperature_0p50,0.5,0.0704166666667,0.0335736111111,-0.000833333333333,0.0003,True
classical_cnn,temperature_0p75,0.75,0.0706944444444,0.0331486111111,-0.000555555555556,-0.000125,True
classical_cnn,temperature_1p00,1,0.0695833333333,0.0309263888889,-0.00166666666667,-0.00234722222222,True
classical_cnn,temperature_1p50,1.5,0.0761111111111,0.0321361111111,0.00486111111111,-0.0011375,True
modern_cnn,score_greedy,,0.0777790565291,0.0378416901792,0,0,True
modern_cnn,temperature_0p25,0.25,0.0743110830611,0.0348412669538,-0.00346797346797,-0.00300042322542,True
modern_cnn,temperature_0p50,0.5,0.0728611441111,0.0319452855328,-0.00491791241791,-0.0058964046464,True
modern_cnn,temperature_0p75,0.75,0.0710180510181,0.0328692060192,-0.00676100551101,-0.00497248415998,True
modern_cnn,temperature_1p00,1,0.0748055885556,0.0325004021879,-0.00297346797347,-0.00534128799129,True
modern_cnn,temperature_1p50,1.5,0.0722305134805,0.0346612732238,-0.00554854304854,-0.00318041695542,True
transformer,score_greedy,,0.0440290565291,0.0187208568459,0,0,True
transformer,temperature_0p25,0.25,0.0371291621292,0.017335008085,-0.00689989439989,-0.00138584876085,True
transformer,temperature_0p50,0.5,0.0398999273999,0.0170545284295,-0.00412912912913,-0.00166632841633,True
transformer,temperature_0p75,0.75,0.0453568953569,0.0202065884566,0.00132783882784,0.00148573161073,True
transformer,temperature_1p00,1,0.0358083358083,0.0170567353067,-0.00822072072072,-0.00166412153912,True
transformer,temperature_1p50,1.5,0.0412888162888,0.0175000495,-0.00274024024024,-0.00122080734581,True
