fingerprint,seed,omitted_target_family,source_slice,evaluated_source_family,method,eligible,successes,asr,asr_query_auc,normalized_action_entropy,query_budget
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,modern_cnn,bandit_action,180,2,0.0111111111111,0.00777777777778,0.991531447823,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,modern_cnn,fixed_action,180,0,0,0,-0,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,modern_cnn,random_action,180,6,0.0333333333333,0.014,0.998866128758,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,modern_cnn,score_greedy,180,6,0.0333333333333,0.0156666666667,0.999337809189,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,modern_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo,180,0,0,0,-0,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,modern_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,180,6,0.0333333333333,0.0121111111111,0.953030087857,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,transformer,bandit_action,150,5,0.0333333333333,0.0248666666667,0.988012539099,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,transformer,fixed_action,150,0,0,0,-0,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,transformer,random_action,150,12,0.08,0.0388,0.998648049613,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,transformer,score_greedy,150,14,0.0933333333333,0.0444,0.999101152065,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,transformer,soft_gradient_bc_action_conditioned_groupdro_ppo,150,3,0.02,0.019,-0,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,exact_source,transformer,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,150,13,0.0866666666667,0.0474,0.952334457785,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,seen_family_new_instance,modern_cnn,bandit_action,90,1,0.0111111111111,0.00677777777778,0.984152782737,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,seen_family_new_instance,modern_cnn,fixed_action,90,0,0,0,-0,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,seen_family_new_instance,modern_cnn,random_action,90,4,0.0444444444444,0.0133333333333,0.997927545735,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,seen_family_new_instance,modern_cnn,score_greedy,90,3,0.0333333333333,0.0134444444444,0.998668958989,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,seen_family_new_instance,modern_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo,90,0,0,0,-0,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,seen_family_new_instance,modern_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,90,3,0.0333333333333,0.0132222222222,0.949577360834,50
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,17,classical_cnn,seen_family_new_instance,transformer,bandit_action,72,3,0.0416666666667,0.03375,0.975738734136,50
