fingerprint,omitted_target_family,source_family,instance_index,victim_id,source_validation_accuracy,checkpoint_sha256,resumed
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,classical_cnn,modern_cnn,0,cifar_depthwise_cnn_research__instance_0__seed_441501523730157749,0.936,6a074b47b8d5de42647c141400eb3f27834513ead4d37181ffdec6bece93285c,True
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,classical_cnn,modern_cnn,1,cifar_depthwise_cnn_research__instance_1__seed_5745339732664394041,0.932,b5b9350c9d432645ea1b1220581f0a56e988f7deb558a2d8494676ee09bcc730,True
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,classical_cnn,modern_cnn,2,cifar_depthwise_cnn_research__instance_2__seed_5951833609959434687,0.928,f2d56d1f31c256f19254085c3dfd43624e1bdd6913eec8da2426a1f5a7b688d5,True
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,classical_cnn,transformer,0,cifar_patch_transformer_research__instance_0__seed_7134820145087048672,0.788,e2b025c067f07c3d1954f401ec3753e04cb0b3b93f79c4681704ecf6a14144cb,True
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,classical_cnn,transformer,1,cifar_patch_transformer_research__instance_1__seed_7685542737852838399,0.764,365ef371151d07a0216e0ae4d3e58d2ec1a279f1cf0f016bacb102e8b3d2075e,True
025f7aea92d95d91067ce553af4e4c97c324ee2aae6a8b30b21bcac453dce7ee,classical_cnn,transformer,2,cifar_patch_transformer_research__instance_2__seed_8059090647576115266,0.752,e958596a2d6b0b39f4648e89dc2539d0332cfd6cb30eda9579edde93624f238e,True
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,modern_cnn,classical_cnn,0,cifar_residual_cnn_research__instance_0__seed_2334753964674171663,0.928,cd747badf0299cdebe10613688d17ff2b00195225a6265181e9d627619cd8b63,True
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,modern_cnn,classical_cnn,1,cifar_residual_cnn_research__instance_1__seed_8493566438760199733,0.934,1f06be4b7a97785bddddd87471b9eb6d12124becb09db14b41260fb655b030f1,True
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,modern_cnn,classical_cnn,2,cifar_residual_cnn_research__instance_2__seed_1690184667294965620,0.922,c29f805cbc7933234656b091c07038dc276780a619c797d0db0273db6e6b0a5f,True
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,modern_cnn,transformer,0,cifar_patch_transformer_research__instance_0__seed_7134820145087048672,0.788,e2b025c067f07c3d1954f401ec3753e04cb0b3b93f79c4681704ecf6a14144cb,True
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,modern_cnn,transformer,1,cifar_patch_transformer_research__instance_1__seed_7685542737852838399,0.764,365ef371151d07a0216e0ae4d3e58d2ec1a279f1cf0f016bacb102e8b3d2075e,True
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,modern_cnn,transformer,2,cifar_patch_transformer_research__instance_2__seed_8059090647576115266,0.752,e958596a2d6b0b39f4648e89dc2539d0332cfd6cb30eda9579edde93624f238e,True
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,transformer,classical_cnn,0,cifar_residual_cnn_research__instance_0__seed_2334753964674171663,0.928,cd747badf0299cdebe10613688d17ff2b00195225a6265181e9d627619cd8b63,True
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,transformer,classical_cnn,1,cifar_residual_cnn_research__instance_1__seed_8493566438760199733,0.934,1f06be4b7a97785bddddd87471b9eb6d12124becb09db14b41260fb655b030f1,True
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,transformer,classical_cnn,2,cifar_residual_cnn_research__instance_2__seed_1690184667294965620,0.922,c29f805cbc7933234656b091c07038dc276780a619c797d0db0273db6e6b0a5f,True
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,transformer,modern_cnn,0,cifar_depthwise_cnn_research__instance_0__seed_441501523730157749,0.936,6a074b47b8d5de42647c141400eb3f27834513ead4d37181ffdec6bece93285c,True
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,transformer,modern_cnn,1,cifar_depthwise_cnn_research__instance_1__seed_5745339732664394041,0.932,b5b9350c9d432645ea1b1220581f0a56e988f7deb558a2d8494676ee09bcc730,True
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,transformer,modern_cnn,2,cifar_depthwise_cnn_research__instance_2__seed_5951833609959434687,0.928,f2d56d1f31c256f19254085c3dfd43624e1bdd6913eec8da2426a1f5a7b688d5,True
